[rosmaster.main][INFO] 2021-06-21 07:44:06,722: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-06-21 07:44:06,722: Starting ROS Master Node
[xmlrpc][INFO] 2021-06-21 07:44:06,723: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-06-21 07:44:06,723: Started XML-RPC server [http://c0cf3ac15434:11311/]
[xmlrpc][INFO] 2021-06-21 07:44:06,723: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-06-21 07:44:06,723: Master initialized: port[11311], uri[http://c0cf3ac15434:11311/]
[rosmaster.master][INFO] 2021-06-21 07:44:06,732: +PUB [/rosout] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,733: +SERVICE [/rviz_1624261445482166266/get_loggers] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,734: +SERVICE [/rviz_1624261445482166266/set_logger_level] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,759: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:06,760: +PARAM [/roslaunch/uris/host_c0cf3ac15434__42895] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:06,799: +SUB [/tf] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,802: +SUB [/tf_static] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,826: +PUB [/initialpose] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,827: +PUB [/goal] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,830: -PUB [/goal] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,830: -PUB [/initialpose] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,833: +PUB [/initialpose] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,834: +PUB [/goal] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,835: +PUB [/move_base_simple/goal] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,835: -PUB [/goal] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,836: +PUB [/clicked_point] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:06,855: +SERVICE [/rviz_1624261445482166266/reload_shaders] /rviz_1624261445482166266 http://c0cf3ac15434:33609/
[rosmaster.master][INFO] 2021-06-21 07:44:07,257: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,257: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,258: +PARAM [/SAGEMAKER_SHARED_S3_PREFIX] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,258: +PARAM [/METRICS_S3_OBJECT_KEY] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,258: +PARAM [/CHANGE_START_POSITION] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,258: +PARAM [/racecar/left_front_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,258: +PARAM [/racecar/left_front_wheel_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,259: +SERVICE [/rosout/get_loggers] /rosout http://c0cf3ac15434:44531/
[rosmaster.master][INFO] 2021-06-21 07:44:07,259: +PARAM [/racecar/right_steering_hinge_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,259: +PARAM [/METRIC_NAMESPACE] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,259: +SERVICE [/rosout/set_logger_level] /rosout http://c0cf3ac15434:44531/
[rosmaster.master][INFO] 2021-06-21 07:44:07,259: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,260: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,260: +PARAM [/racecar/right_steering_hinge_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,260: +PARAM [/racecar/right_steering_hinge_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,261: +PARAM [/AWS_ROBOMAKER_SIMULATION_JOB_ID] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,261: +PARAM [/JOB_TYPE] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,261: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,261: +PARAM [/racecar/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,262: +PARAM [/racecar/right_front_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,262: +PARAM [/ROBOMAKER_SIMULATION_JOB_ACCOUNT_ID] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,262: +PARAM [/racecar/left_steering_hinge_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,262: +PARAM [/racecar/right_front_wheel_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,263: +PARAM [/racecar/left_steering_hinge_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,263: +PARAM [/racecar/right_front_wheel_velocity_controller/pid/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,263: +PARAM [/NUMBER_OF_EPISODES] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,263: +PARAM [/racecar/right_steering_hinge_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,263: +PARAM [/racecar/right_rear_wheel_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,264: +PARAM [/AWS_REGION] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,264: +PARAM [/racecar/right_front_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,264: +PARAM [/WORLD_NAME] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,265: +PARAM [/racecar/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,265: +SUB [/clock] /rosout http://c0cf3ac15434:44531/
[rosmaster.master][INFO] 2021-06-21 07:44:07,265: +PARAM [/racecar/left_front_wheel_velocity_controller/pid/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,265: +PARAM [/racecar/left_steering_hinge_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,265: +PARAM [/racecar/right_front_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,266: +PARAM [/racecar/left_rear_wheel_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,266: +PUB [/rosout_agg] /rosout http://c0cf3ac15434:44531/
[rosmaster.master][INFO] 2021-06-21 07:44:07,266: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,266: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,267: +PARAM [/racecar/right_front_wheel_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,267: +PARAM [/racecar/left_front_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,267: +PARAM [/racecar/right_steering_hinge_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,268: +PARAM [/TARGET_REWARD_SCORE] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,268: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,268: +PARAM [/racecar/left_steering_hinge_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,269: +PARAM [/racecar/left_steering_hinge_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,269: +PARAM [/TRAINING_JOB_ARN] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,269: +PARAM [/METRICS_S3_BUCKET] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,269: +PARAM [/racecar/right_rear_wheel_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,270: +PARAM [/racecar/left_front_wheel_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,270: +PARAM [/racecar/right_rear_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,270: +PARAM [/ALTERNATE_DRIVING_DIRECTION] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,270: +PARAM [/METRIC_NAME] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +PARAM [/racecar/right_rear_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +SUB [/rosout] /rosout http://c0cf3ac15434:44531/
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +PARAM [/racecar/right_rear_wheel_velocity_controller/pid/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +PARAM [/racecar/left_front_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +PARAM [/racecar/left_rear_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +PARAM [/SAGEMAKER_SHARED_S3_BUCKET] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,271: +PARAM [/racecar/right_rear_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-06-21 07:44:07,909: +PUB [/rosout] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:07,910: +SERVICE [/gazebo/get_loggers] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:07,910: +SERVICE [/gazebo/set_logger_level] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:07,915: +SUB [/clock] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:07,924: publisherUpdate[/rosout] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33609/', 'http://c0cf3ac15434:33597/']
[rosmaster.master][INFO] 2021-06-21 07:44:07,926: publisherUpdate[/rosout] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33609/', 'http://c0cf3ac15434:33597/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-06-21 07:44:08,222: +PUB [/clock] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,225: publisherUpdate[/clock] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33597/']
[rosmaster.master][INFO] 2021-06-21 07:44:08,226: publisherUpdate[/clock] -> http://c0cf3ac15434:44531/ ['http://c0cf3ac15434:33597/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-06-21 07:44:08,226: publisherUpdate[/clock] -> http://c0cf3ac15434:33597/ ['http://c0cf3ac15434:33597/']
[rosmaster.master][INFO] 2021-06-21 07:44:08,226: publisherUpdate[/clock] -> http://c0cf3ac15434:33597/ ['http://c0cf3ac15434:33597/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-06-21 07:44:08,227: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,228: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,229: +SERVICE [/gazebo/delete_model] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,231: +SERVICE [/gazebo/delete_light] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,231: +SERVICE [/gazebo/get_model_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,232: +SERVICE [/gazebo/get_model_state] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,233: +SERVICE [/gazebo/get_world_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,233: +SERVICE [/gazebo/get_joint_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,234: +SERVICE [/gazebo/get_link_properties] /gazebo http://c0cf3ac15434:33597/
[rosmaster.master][INFO] 2021-06-21 07:44:08,235: +SERVICE [/gazebo/get_link_state] /gazebo http://c0cf3ac15434:33597/
